bucket,signal_date,stock_id,grade,entry_date,ret_5,exc_5,excu_5,ret_20,exc_20,excu_20,ret_60,exc_60,excu_60,ret_120,exc_120,excu_120,ret_250,exc_250,excu_250
mid,2012-01-04,1444,C,2012-01-05,-0.061884482758620775,-0.06969843730436484,-0.07273693371603751,0.0846672413793105,-0.025004005561853088,-0.12893099369356953,-0.061884482758620775,-0.13649821361224088,-0.18777245036928714,-0.07050517241379314,-0.10384336514604517,-0.11505725836261305,-0.014470689655172377,-0.10994028048853374,-0.06436588139697419
mid,2012-01-04,3508,S,2012-01-05,-0.01818182188065951,-0.025995776426403584,-0.029034272838076247,0.3114146190579886,0.20174337211682503,0.09781638398510858,0.12083165289640743,0.046217922042787324,-0.005056314714258936,-0.172890296034203,-0.20622848876645503,-0.2174423819830229,-0.13701588955749686,-0.23248548039085823,-0.18691108129929868
mid,2012-01-04,3529,C,2012-01-05,-0.020686794916333053,-0.028500749462077125,-0.03153924587374979,0.31907583130684614,0.20940458436568254,0.1054775962339661,0.14548526286829225,0.07087153201467214,0.01959729525762588,-0.01920313806385219,-0.052541330796104214,-0.06375522401267208,-0.026621535522018715,-0.12209112635538008,-0.07651672726382053
mid,2012-01-04,8086,C,2012-01-05,-0.05961344086021501,-0.06742739540595907,-0.07046589181763174,0.12533279569892466,0.015661548757761073,-0.08826543937395537,0.24576290322580654,0.17114917237218644,0.11987493561514018,0.4780209677419355,0.44468277500968345,0.4334688817931156,-0.08541989247311829,-0.18088948330647966,-0.1353150842149201
mid,2012-01-05,3264,B,2012-01-06,-0.00585,-0.014421053961913045,-0.001152056112964317,0.19622248235602405,0.08898713859086063,0.009525898505092334,0.1288649882373493,0.03508515001144988,-0.007507157161813716,0.09259556033807229,0.06598929174939752,0.06056682235538236,0.030305493611215394,-0.06781109631209423,-0.012081983197689938
mid,2012-01-05,5478,C,2012-01-06,-0.05594277711510096,-0.064513831077014,-0.05124483322806528,0.27615364597289005,0.16891830220772663,0.08945706212195834,0.3281017530692033,0.2343219148433039,0.1917296076700403,0.3670627626178363,0.34045649402916156,0.3350340246351464,0.04795329553032137,-0.05016329439298826,0.005565818721416038
mid,2012-01-05,6261,C,2012-01-06,-0.028458713048325236,-0.03702976701023828,-0.023760769161289552,0.2567586164696921,0.1495232727045287,0.0700620326187604,0.488063062674014,0.3942832244481146,0.351690917274851,0.3906716515498111,0.36406538296113633,0.3586429135671212,0.15465899698950594,0.056542407066196315,0.1122715201806006
mid,2012-01-10,1704,C,2012-01-11,0.018703571428571396,0.012376546937648135,0.002840664311563046,0.20173928571428582,0.10350204637637797,0.03893849206349209,-0.02147499999999989,-0.07945745200508034,-0.09895835865762603,-0.0460285714285714,-0.03805999712877737,-0.0401785714285714,-0.1732607142857143,-0.24451909677972614,-0.20523674073494258
mid,2012-01-10,2101,C,2012-01-11,0.010454347826086917,0.004127323335163656,-0.005408559290921433,0.030019565217391263,-0.06821767412051657,-0.13278122843340245,-0.04932826086956519,-0.10731071287464564,-0.12681161952719133,-0.10802391304347833,-0.1000553387436843,-0.10217391304347834,-0.24063260869565214,-0.311890991189664,-0.27260863514488043
mid,2012-01-10,2103,C,2012-01-11,-0.037222549019607955,-0.043549573510531216,-0.053085456136616305,0.00852908496732021,-0.08970815437058763,-0.1542717086834735,-0.09343169934640524,-0.1514141513514857,-0.1709150580040314,-0.003235620915032689,0.00473295338476134,0.002614379084967311,-0.2372225490196079,-0.30848093151361977,-0.2691985754688362
mid,2012-01-10,2201,C,2012-01-11,-0.01130454545454538,-0.01763156994546864,-0.02716745257155373,0.07051363636363642,-0.027723602974271427,-0.0922871572871573,-0.14039545454545452,-0.19837790655053497,-0.21787881320308067,-0.1076681818181818,-0.09969960751838777,-0.10181818181818181,0.010513636363636357,-0.060744746130375483,-0.02146239008559192
mid,2012-01-10,2332,C,2012-01-11,-0.024807345971564067,-0.031134370462487328,-0.04067025308857242,0.06997938388625582,-0.02825785545165202,-0.0928214097645379,-0.010589336492891045,-0.06857178849797149,-0.08807269515051719,-0.0911580568720379,-0.08318948257224387,-0.08530805687203791,-0.12196374407582952,-0.19322212656984136,-0.1539397705250578
mid,2012-01-10,2384,C,2012-01-11,0.005462217194570095,-0.0008648072963531655,-0.010400689922438255,0.1887201357466061,0.09048289640869825,0.02591934209581237,-0.028474434389140303,-0.08645688639422075,-0.10595779304676645,-0.3225920814479639,-0.3146235071481699,-0.3167420814479639,-0.3655785067873304,-0.43683688928134223,-0.39755453323655865
mid,2012-01-10,2458,C,2012-01-11,0.08904051094890511,0.08271348645798185,0.07317760383189675,0.4193324817518248,0.32109524241391696,0.2565316881010311,0.4540040145985401,0.39602156259345966,0.376520655940914,0.7076536496350366,0.7156222239348307,0.7135036496350367,0.775171897810219,0.7039135153162072,0.7431958713609907
mid,2012-01-10,2520,C,2012-01-11,0.0766896825396827,0.07036265804875944,0.060826775422674347,0.2512928571428571,0.15305561780494925,0.08849206349206337,0.156054761904762,0.09807230989968155,0.07857140324713585,0.09256269841269851,0.10053127271249254,0.09841269841269851,0.6036738095238096,0.5324154270297977,0.5716977830745813
mid,2012-01-10,2542,C,2012-01-11,0.049831818181818165,0.043504793690894904,0.033968911064809815,0.15324090909090918,0.05500366975300133,-0.009559884559884546,0.14642272727272734,0.08844027526764689,0.0689393686151012,0.02369545454545454,0.03166402884524857,0.02954545454545454,0.34187727272727264,0.2706188902332608,0.3099012462780444
mid,2012-01-10,2606,C,2012-01-11,-0.014729023307436175,-0.021056047798359435,-0.030591930424444524,0.0973686459489457,-0.0008685933889621411,-0.06543214770184802,0.08515998890122081,0.02717753689614036,0.007676630243594662,-0.001410488346281858,0.006558085953512171,0.004439511653718142,0.06407230854606008,-0.00718607394795176,0.0320962820968318
mid,2012-01-10,3014,C,2012-01-11,-0.007834140485538856,-0.014161164976462116,-0.023697047602547205,0.25803886998691217,0.15980163064900432,0.09523807633611844,-0.00981828097107771,-0.06780073297615816,-0.08730163962870385,-0.03362773997382449,-0.02565916567403046,-0.02777773997382449,-0.06140553665357893,-0.13266391914759076,-0.09338156310280721
mid,2012-01-10,3227,A,2012-01-11,0.07503242376552324,0.06870539927459998,0.05916951664851489,0.3029736144009806,0.20473637506307274,0.14017282075018686,0.07062069022235332,0.012638238217272862,-0.006862668435272834,0.2147382636238563,0.22270683792365034,0.2205882636238563,0.07990003946332594,0.008641656969314099,0.04792401301409766
mid,2012-01-10,3260,B,2012-01-11,0.008413076360772508,0.0020860518698492467,-0.007449830756235842,0.3222006940005334,0.22396345466262557,0.1593999003497397,0.005243517679986231,-0.052738934325094224,-0.07223984097763991,0.18432433071122203,0.19229290501101606,0.19017433071122203,0.15421346094651792,0.08295507845250608,0.12223743449728963
mid,2012-01-10,3311,C,2012-01-11,0.05204474555583096,0.0457177210649077,0.03618183843882261,0.0257289270363942,-0.07250831230151364,-0.13707186661439952,-0.12295528548681697,-0.18093773749189743,-0.20043864414444312,-0.15716580127352117,-0.14919722697372714,-0.15131580127352118,-0.28821841055985353,-0.3594767930538654,-0.3201944370090818
mid,2012-01-10,3533,C,2012-01-11,0.0689799326962374,0.06265290820531413,0.053117025579229045,0.15061255754297834,0.05237531820507049,-0.012188236107815387,0.049932245789167905,-0.008050206215912549,-0.027551112868458245,-0.024897686907069484,-0.016929112607275455,-0.019047686907069483,0.16966013810314787,0.09840175560913603,0.13768411165391958
mid,2012-01-10,5534,C,2012-01-11,0.05155746567573218,0.04523044118480892,0.03569455855872383,0.16637223970271978,0.06813500036481193,0.0035714460519260527,0.1885944794054394,0.13061202740035896,0.11111112074781326,0.2182241061216527,0.22619268042144672,0.22407410612165268,0.7485575238857888,0.6772991413917769,0.7165814974365605
mid,2012-01-10,6213,C,2012-01-11,0.12050382661972284,0.11417680212879958,0.10464091950271448,0.275738476288126,0.17750123695021813,0.11293768263733225,0.1674352524232076,0.10945280041812713,0.08995189376558144,0.14577457623711113,0.15374315053690515,0.15162457623711112,0.18151468801753104,0.1102563055235192,0.14953866156830276
mid,2012-01-10,8942,C,2012-01-11,0.0835117021276596,0.07718467763673634,0.06764879501065124,0.30053297872340423,0.2022957393854964,0.1377321850726105,0.2069159574468086,0.14893350544172815,0.12943259878918245,0.17074574468085105,0.17871431898064508,0.17659574468085104,0.12606489361702136,0.05480651112300952,0.09408886716779308
mid,2012-01-11,4128,C,2012-01-12,0.020123986415245952,-0.010604131232420412,-0.03424106734819499,0.0422019314372605,-0.0646972803912099,-0.1274289175896708,-0.09156430312014893,-0.15224822489383236,-0.16241046831188932,-0.08636952324296296,-0.07491622310590737,-0.06851947885123877,0.0218771919878026,-0.03796491008558776,0.03755037469900102
mid,2012-01-12,2908,C,2012-01-13,0.02046579937547057,-0.026256775063632977,-0.06417744735795361,-0.03216579937547057,-0.13520218946904947,-0.20625915945207474,-0.06326631520110956,-0.10860615338486443,-0.11932512048582045,-0.010634716450168426,0.002106283321789214,0.01750384173285391,0.09887729797142689,0.022106845516082357,0.08883432859008544
mid,2012-01-12,3296,C,2012-01-13,0.0307035653725082,-0.016019009066595348,-0.05393968136091599,0.3205207636814916,0.21748437358791273,0.14642740360488746,0.27613431990071835,0.23079448171696348,0.22007551461600747,0.2082492408951492,0.22099024066710685,0.23638779907817153,-0.10245576596981207,-0.1792262184251566,-0.11249873535115351
mid,2012-01-13,1231,C,2012-01-16,0.04442932960893877,-0.018297820266640487,-0.05463143248889358,0.023479608938547523,-0.1029432633123005,-0.15957023870699882,-0.04495614525139666,-0.09809380187371472,-0.07611570438964743,0.06398240223463683,0.06069113912838878,0.08691593607187048,0.012306424581005747,-0.07515599520468061,0.003519671754840914
mid,2012-01-13,3218,C,2012-01-16,0.09523311935867165,0.032505969483092395,-0.003827642739160697,0.07176738822371256,-0.054655484027135465,-0.11128245942183379,-0.25494746585027106,-0.3080851224725891,-0.2861070249885218,-0.21162614017926848,-0.21491740328551653,-0.18869260634203483,-0.25314239755081314,-0.3406048173364995,-0.26192915037697795
mid,2012-01-13,5356,C,2012-01-16,0.09688972602739723,0.034162576151817975,-0.0021710360704351173,0.13798561643835608,0.01156274418750805,-0.045064231207190275,0.10373904109589041,0.05060138447357235,0.07257948195763964,-0.025028082191780855,-0.02831934529802891,-0.002094548354547199,-0.04283630136986303,-0.13029872115554939,-0.05162305419602786
mid,2012-01-13,8942,A,2012-01-16,0.07799458077709623,0.01526743090151697,-0.02106618132073612,0.24772873210633942,0.12130585985549139,0.06467888446079306,0.16388415132924342,0.11074649470692535,0.13272459219099264,0.0902645194274029,0.08697325632115485,0.11319805326463656,0.07799458077709623,-0.009467839008590134,0.06920782795093139
